lock;drop;liquidated
0.00;0.10;7.769
0.00;0.15;14.010
0.00;0.20;24.571
0.00;0.25;35.305
0.00;0.30;55.852
0.25;0.10;7.769
0.25;0.15;13.550
0.25;0.20;23.829
0.25;0.25;33.944
0.25;0.30;49.945
0.50;0.10;7.769
0.50;0.15;13.335
0.50;0.20;22.343
0.50;0.25;32.118
0.50;0.30;45.881
0.75;0.10;7.484
0.75;0.15;13.141
0.75;0.20;20.335
0.75;0.25;30.634
0.75;0.30;42.266
1.00;0.10;7.429
1.00;0.15;12.717
1.00;0.20;19.814
1.00;0.25;29.391
1.00;0.30;38.637
